Dimension,Augmenting,Halving,Total,n/w_a,log(n*c)+1,n+log(n*c)+1,Early Stopping,Alpha
2,1,4,5,0.6666666666666666,4.0,4.666666666666666,False,2.0
3,1,5,6,1.0,5.584962500721157,6.584962500721157,False,2.0
4,2,7,9,1.3333333333333333,7.0,8.333333333333332,False,2.0
5,2,8,10,1.6666666666666667,8.321928094887362,9.988594761554028,False,2.0
6,2,9,11,2.0,9.584962500721156,11.584962500721156,False,2.0
7,3,10,13,2.3333333333333335,10.807354922057604,13.140688255390938,False,2.0
8,3,12,15,2.6666666666666665,12.0,14.666666666666666,False,2.0
9,3,13,16,3.0,13.169925001442312,16.169925001442312,False,2.0
10,4,14,18,3.3333333333333335,14.321928094887364,17.655261428220697,False,2.0
11,4,15,19,3.6666666666666665,15.459431618637296,19.126098285303964,False,2.0
12,4,16,20,4.0,16.584962500721158,20.584962500721158,False,2.0
13,5,17,22,4.333333333333333,17.700439718141094,22.033773051474427,False,2.0
14,5,18,23,4.666666666666667,18.807354922057606,23.474021588724273,False,2.0
15,5,19,24,5.0,19.90689059560852,24.90689059560852,False,2.0
16,6,21,27,5.333333333333333,21.0,26.333333333333332,False,2.0
17,6,22,28,5.666666666666667,22.087462841250343,27.75412950791701,False,2.0
18,6,23,29,6.0,23.169925001442312,29.169925001442312,False,2.0
19,7,24,31,6.333333333333333,24.24792751344359,30.58126084677692,False,2.0
20,7,25,32,6.666666666666667,25.321928094887365,31.988594761554033,False,2.0
