Dimension,Augmenting,Halving,Total,n/w_a,log(n*c)+1,n+log(n*c)+1,Early Stopping,Alpha
2,2,9,11,2.0,8.228262518959628,10.228262518959628,False,1.3333333333333333
3,3,12,15,3.0,12.047104198266048,15.047104198266048,False,1.3333333333333333
4,4,15,19,4.0,15.456525037919256,19.456525037919256,False,1.3333333333333333
5,5,18,23,5.0,18.641606138263935,23.641606138263935,False,1.3333333333333333
6,6,21,27,6.0,21.684787556878888,27.684787556878888,False,1.3333333333333333
7,7,24,31,7.0,24.63004533108107,31.63004533108107,False,1.3333333333333333
8,8,27,35,8.0,27.503629236185308,35.503629236185304,False,1.3333333333333333
9,9,30,39,9.0,30.322470915491724,39.32247091549172,False,1.3333333333333333
10,10,33,43,10.0,33.098131176183195,43.098131176183195,False,1.3333333333333333
11,11,35,46,11.0,35.838855871485244,46.838855871485244,False,1.3333333333333333
12,12,38,50,12.0,38.55073343445136,50.55073343445136,False,1.3333333333333333
13,13,41,54,13.0,41.238387488261324,54.238387488261324,False,1.3333333333333333
14,14,43,57,14.0,43.90541204830675,57.90541204830675,False,1.3333333333333333
15,15,46,61,15.0,46.55465621410245,61.55465621410245,False,1.3333333333333333
16,16,49,65,16.0,49.18841679306419,65.18841679306419,False,1.3333333333333333
17,17,51,68,17.0,51.808572425121255,68.80857242512126,False,1.3333333333333333
18,18,54,72,18.0,54.416679312023824,72.41667931202383,False,1.3333333333333333
19,19,57,76,19.0,57.01404102963821,76.01404102963821,False,1.3333333333333333
20,20,59,79,20.0,59.601760412368506,79.6017604123685,False,1.3333333333333333
