Dimension,Augmenting,Halving,Total,n/w_a,log(c)+1,n+log(c)+1,Early Stopping,Alpha
2,1,1,2,0.6666666666666666,3.0,3.6666666666666665,True,2.0
3,1,1,2,1.0,4.0,5.0,True,2.0
4,2,4,6,1.3333333333333333,5.0,6.333333333333333,True,2.0
5,2,4,6,1.6666666666666667,6.0,7.666666666666667,True,2.0
6,2,4,6,2.0,7.0,9.0,True,2.0
7,3,7,10,2.3333333333333335,8.0,10.333333333333334,True,2.0
8,3,7,10,2.6666666666666665,9.0,11.666666666666666,True,2.0
9,3,7,10,3.0,10.0,13.0,True,2.0
10,4,10,14,3.3333333333333335,11.0,14.333333333333334,True,2.0
11,4,10,14,3.6666666666666665,12.0,15.666666666666666,True,2.0
12,4,10,14,4.0,13.0,17.0,True,2.0
13,5,13,18,4.333333333333333,14.0,18.333333333333332,True,2.0
14,5,13,18,4.666666666666667,15.0,19.666666666666668,True,2.0
15,5,13,18,5.0,16.0,21.0,True,2.0
16,6,16,22,5.333333333333333,17.0,22.333333333333332,True,2.0
17,6,16,22,5.666666666666667,18.0,23.666666666666668,True,2.0
18,6,16,22,6.0,19.0,25.0,True,2.0
19,7,19,26,6.333333333333333,20.0,26.333333333333332,True,2.0
20,7,19,26,6.666666666666667,21.0,27.666666666666668,True,2.0
