Dimension,Augmenting,Halving,Total,n/w_a,log(c)+1,n+log(c)+1,Early Stopping,Alpha
2,2,4,6,2.0,5.818841679306419,7.818841679306419,True,1.3333333333333333
3,3,6,9,3.0,8.228262518959628,11.228262518959628,True,1.3333333333333333
4,4,8,12,4.0,10.637683358612838,14.637683358612838,True,1.3333333333333333
5,5,10,15,5.0,13.047104198266048,18.047104198266048,True,1.3333333333333333
6,6,13,19,6.0,15.456525037919256,21.456525037919256,True,1.3333333333333333
7,7,15,22,7.0,17.865945877572468,24.865945877572468,True,1.3333333333333333
8,8,17,25,8.0,20.275366717225676,28.275366717225676,True,1.3333333333333333
9,9,20,29,9.0,22.684787556878888,31.684787556878888,True,1.3333333333333333
10,10,22,32,10.0,25.094208396532096,35.094208396532096,True,1.3333333333333333
11,11,25,36,11.0,27.503629236185308,38.503629236185304,True,1.3333333333333333
12,12,27,39,12.0,29.913050075838512,41.91305007583851,True,1.3333333333333333
13,13,29,42,13.0,32.32247091549172,45.32247091549172,True,1.3333333333333333
14,14,32,46,14.0,34.731891755144936,48.731891755144936,True,1.3333333333333333
15,15,34,49,15.0,37.141312594798144,52.141312594798144,True,1.3333333333333333
16,16,37,53,16.0,39.55073343445135,55.55073343445135,True,1.3333333333333333
17,17,39,56,17.0,41.96015427410456,58.96015427410456,True,1.3333333333333333
18,18,41,59,18.0,44.369575113757776,62.369575113757776,True,1.3333333333333333
19,19,44,63,19.0,46.778995953410984,65.77899595341098,True,1.3333333333333333
20,20,46,66,20.0,49.18841679306419,69.18841679306419,True,1.3333333333333333
